date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:29	666328/666328	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2016:37:22%20GMT	https://www.classcentral.com/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/index.html	(from )
11:37:30	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%22640b3886-154%22	https://www.classcentral.com/robots.txt		(from )
11:37:31	9463/9463	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/57300/Desktop/clas/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
11:37:31	2206/2206	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
11:37:31	975/975	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
11:37:31	731/731	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2014:02:46%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
11:37:31	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%22640b3886-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
11:37:32	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22640b3886-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
11:37:32	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%22640b3886-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
11:37:32	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2010%20Mar%202023%2014:04:33%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
